Terme français,Terme anglais,Description en français,Description en anglais
Wallis et futuna,Wallis and futuna,,
Kazakhstan,Kazakhstan,,
"Iran, république islamique d'","Iran, islamic republic of",,
Malaisie,Malaysia,,
Côte d'ivoire,Côte d'ivoire,,
Timor-leste,Timor-leste,,
"Macédoine, l'ex-république yougoslave de","Macedonia, the former yugoslav republic of",,
Bahreïn,Bahrain,,
Arménie,Armenia,,
Maldives,Maldives,,
Estonie,Estonia,,
