source_xpath,target_xpath,comment
/xml/dataset/metadata/additional/activeFollowUp/isActiveFollowUp,DataCollectionAccess/DataCollectionIntegration/DataCollection/ActiveFollowUp/IsActiveFollowUp,"Chaîne booléenne (0/1)."
/xml/dataset/metadata/additional/dataCollectionIntegration/isDataIntegration,DataCollectionAccess/DataCollectionIntegration/IsDataIntegration,"Chaîne booléenne (0/1)."
/xml/dataset/metadata/additional/dataKind/values/value,DataCollectionAccess/DataCollectionIntegration/DataCollection/DataTypes/DataType/value,"TABLEAU : CvIdType forcé vers /value."
/xml/dataset/metadata/additional/dataTypes/clinicalDataDetails,DataCollectionAccess/DataCollectionIntegration/DataCollection/DataTypes/ClinicalDataDetails,"Chaîne brute directe."
/xml/dataset/metadata/additional/dataTypes/biologicalDataDetails,DataCollectionAccess/DataCollectionIntegration/DataCollection/DataTypes/BiologicalDataDetails,"Chaîne brute directe."
/xml/dataset/metadata/additional/dataTypes/isDataInBiobank,DataCollectionAccess/DataCollectionIntegration/DataCollection/DataTypes/isDataInBiobank,"Chaîne booléenne (0/1)."
/xml/dataset/metadata/additional/dataTypes/biobankContent/biobankcontent,DataCollectionAccess/DataCollectionIntegration/DataCollection/DataTypes/BiobankContent,"TABLEAU : Liste simple."
/xml/dataset/metadata/additional/dataTypes/otherLiquidsDetails,DataCollectionAccess/DataCollectionIntegration/DataCollection/DataTypes/OtherLiquidsDetails,"Chaîne brute directe."
/xml/dataset/metadata/study_desc/data_access/dataset_availability/access_place,DataCollectionAccess/DataCollectionIntegration/DataAccess/DatasetAvailability/AccessPlace,"Chaîne brute directe."
/xml/dataset/metadata/additional/avlStatus/values,DataCollectionAccess/DataCollectionIntegration/DataAccess/DatasetAvailability/Status/value,"CvIdType forcé vers /value."
/xml/dataset/metadata/study_desc/data_access/dataset_use/conditions,DataCollectionAccess/DataCollectionIntegration/DataAccess/UseStatement/AccessConditions,"Chaîne brute directe."
/xml/dataset/metadata/study_desc/data_access/dataset_use/conf_dec/item/txt,DataCollectionAccess/DataCollectionIntegration/DataAccess/UseStatement/NonDisclosureAgreement,"Chaîne brute directe."
